"filename", "language", "JSON", "JavaScript", "Markdown", "comment", "blank", "total"
"d:\WeatherApp\App.js", "JavaScript", 0, 129, 0, 0, 7, 136
"d:\WeatherApp\README.md", "Markdown", 0, 0, 26, 0, 4, 30
"d:\WeatherApp\app.json", "JSON", 26, 0, 0, 0, 1, 27
"d:\WeatherApp\assets\Animation\clear_night.json", "JSON", 1, 0, 0, 0, 0, 1
"d:\WeatherApp\assets\Animation\clouds_night.json", "JSON", 1, 0, 0, 0, 0, 1
"d:\WeatherApp\assets\Animation\cloudy.json", "JSON", 1, 0, 0, 0, 0, 1
"d:\WeatherApp\assets\Animation\night.json", "JSON", 1, 0, 0, 0, 0, 1
"d:\WeatherApp\assets\Animation\rain.json", "JSON", 2569, 0, 0, 0, 1, 2570
"d:\WeatherApp\assets\Animation\rain_night.json", "JSON", 1, 0, 0, 0, 0, 1
"d:\WeatherApp\assets\Animation\sunny.json", "JSON", 846, 0, 0, 0, 1, 847
"d:\WeatherApp\babel.config.js", "JavaScript", 0, 6, 0, 0, 1, 7
"d:\WeatherApp\backend\app.mjs", "JavaScript", 0, 13, 0, 0, 5, 18
"d:\WeatherApp\backend\config\db.mjs", "JavaScript", 0, 14, 0, 0, 3, 17
"d:\WeatherApp\backend\controllers\feedbackController.mjs", "JavaScript", 0, 19, 0, 0, 2, 21
"d:\WeatherApp\backend\models\feedbackModel.mjs", "JavaScript", 0, 8, 0, 0, 4, 12
"d:\WeatherApp\backend\routes\feedbackRoutes.mjs", "JavaScript", 0, 7, 0, 0, 2, 9
"d:\WeatherApp\backend\server.js", "JavaScript", 0, 5, 0, 0, 2, 7
"d:\WeatherApp\package-lock.json", "JSON", 18009, 0, 0, 0, 1, 18010
"d:\WeatherApp\package.json", "JSON", 64, 0, 0, 0, 1, 65
"d:\WeatherApp\src\Components\FavouriteScreen\FavouriteList.js", "JavaScript", 0, 34, 0, 0, 6, 40
"d:\WeatherApp\src\Components\HomeScreen\ForecastItemDaily.js", "JavaScript", 0, 85, 0, 0, 10, 95
"d:\WeatherApp\src\Components\HomeScreen\ForecastItemHourly.js", "JavaScript", 0, 98, 0, 0, 7, 105
"d:\WeatherApp\src\Components\HomeScreen\LocationDisplay.js", "JavaScript", 0, 45, 0, 0, 4, 49
"d:\WeatherApp\src\Components\HomeScreen\VideoBackground.js", "JavaScript", 0, 63, 0, 0, 5, 68
"d:\WeatherApp\src\Components\HomeScreen\WeatherAnimation.js", "JavaScript", 0, 51, 0, 0, 7, 58
"d:\WeatherApp\src\Components\Loading.js", "JavaScript", 0, 17, 0, 0, 4, 21
"d:\WeatherApp\src\Components\ManageLocation\CityItem.js", "JavaScript", 0, 81, 0, 0, 9, 90
"d:\WeatherApp\src\Components\ManageLocation\CityList.js", "JavaScript", 0, 40, 0, 0, 5, 45
"d:\WeatherApp\src\Components\ManageLocation\CityModal.js", "JavaScript", 0, 74, 0, 0, 5, 79
"d:\WeatherApp\src\Components\Map\MapInfo.js", "JavaScript", 0, 71, 0, 0, 5, 76
"d:\WeatherApp\src\Components\Map\MapViewComponent.js", "JavaScript", 0, 32, 0, 0, 4, 36
"d:\WeatherApp\src\Components\WeatherInfo.js", "JavaScript", 0, 34, 0, 0, 4, 38
"d:\WeatherApp\src\Components\fetchWeatherData.js", "JavaScript", 0, 33, 0, 0, 7, 40
"d:\WeatherApp\src\Notification\Notification.js", "JavaScript", 0, 16, 0, 0, 2, 18
"d:\WeatherApp\src\Notification\setupNotification.js", "JavaScript", 0, 15, 0, 0, 3, 18
"d:\WeatherApp\src\Redux\store.js", "JavaScript", 0, 12, 0, 0, 2, 14
"d:\WeatherApp\src\Redux\weather.js", "JavaScript", 0, 47, 0, 0, 3, 50
"d:\WeatherApp\src\Utils\APi.js", "JavaScript", 0, 117, 0, 0, 16, 133
"d:\WeatherApp\src\Utils\GoogleSpeechAPI.js", "JavaScript", 0, 36, 0, 0, 4, 40
"d:\WeatherApp\src\Utils\getCohereResponse.js", "JavaScript", 0, 44, 0, 0, 3, 47
"d:\WeatherApp\src\screens\FavouriteScreen.js", "JavaScript", 0, 31, 0, 0, 5, 36
"d:\WeatherApp\src\screens\FeedbacksScreen.js", "JavaScript", 0, 228, 0, 0, 11, 239
"d:\WeatherApp\src\screens\HomeScreen.js", "JavaScript", 0, 53, 0, 0, 8, 61
"d:\WeatherApp\src\screens\LocationScreen.js", "JavaScript", 0, 216, 0, 0, 21, 237
"d:\WeatherApp\src\screens\MapScreen.js", "JavaScript", 0, 72, 0, 0, 12, 84
"d:\WeatherApp\src\screens\VoiceInputScreen.js", "JavaScript", 0, 152, 0, 0, 13, 165
"Total", "-", 21519, 1998, 26, 0, 220, 23763